id_milieu,type,id_boite
1,Milieu_1,1
2,Milieu_1,2
3,Milieu_1,3
4,Milieu_1,4
5,Milieu_1,5
6,Milieu_1,6
7,Milieu_1,7
8,Milieu_1,8
9,Milieu_1,9
10,Milieu_1,10
11,Milieu_1,11
12,Milieu_1,12
13,Milieu_1,13
14,Milieu_1,14
15,Milieu_1,15
16,Milieu_1,16
17,Milieu_1,17
18,Milieu_1,18
19,Milieu_1,19
20,Milieu_1,20
21,Milieu_1,21
22,Milieu_1,22
23,Milieu_1,23
24,Milieu_1,24
25,Milieu_1,25
26,Milieu_1,26
27,Milieu_1,27
28,Milieu_1,28
29,Milieu_1,29
30,Milieu_1,30
31,Milieu_1,31
32,Milieu_1,32
33,Milieu_1,33
34,Milieu_1,34
35,Milieu_1,35
36,Milieu_1,36
37,Milieu_1,37
38,Milieu_1,38
39,Milieu_1,39
40,Milieu_1,40
41,Milieu_2,41
42,Milieu_2,42
43,Milieu_2,43
44,Milieu_2,44
45,Milieu_2,45
46,Milieu_2,46
47,Milieu_2,47
48,Milieu_2,48
49,Milieu_2,49
50,Milieu_2,50
51,Milieu_2,51
52,Milieu_2,52
53,Milieu_2,53
54,Milieu_2,54
55,Milieu_2,55
56,Milieu_2,56
57,Milieu_2,57
58,Milieu_2,58
59,Milieu_2,59
60,Milieu_2,60
61,Milieu_2,61
62,Milieu_2,62
63,Milieu_2,63
64,Milieu_2,64
65,Milieu_2,65
66,Milieu_2,66
67,Milieu_2,67
68,Milieu_2,68
69,Milieu_2,69
70,Milieu_2,70
71,Milieu_2,71
72,Milieu_2,72
73,Milieu_2,73
74,Milieu_2,74
75,Milieu_2,75
76,Milieu_2,76
77,Milieu_3,77
78,Milieu_3,78
79,Milieu_3,79
80,Milieu_3,80
81,Milieu_3,81
82,Milieu_3,82
83,Milieu_3,83
84,Milieu_3,84
85,Milieu_3,85
86,Milieu_3,86
87,Milieu_3,87
88,Milieu_3,88
89,Milieu_3,89
90,Milieu_3,90
91,Milieu_3,91
92,Milieu_3,92
93,Milieu_3,93
94,Milieu_3,94
95,Milieu_3,95
96,Milieu_3,96
97,Milieu_3,97
98,Milieu_3,98
99,Milieu_3,99
100,Milieu_3,100
101,Milieu_3,101
102,Milieu_3,102
103,Milieu_3,103
104,Milieu_3,104
105,Milieu_3,105
106,Milieu_3,106
107,Milieu_3,107
108,Milieu_3,108
109,Milieu_3,109
110,Milieu_3,110
111,Milieu_3,111
112,Milieu_3,112
113,Milieu_3,113
114,Milieu_3,114
115,Milieu_3,115
116,Milieu_3,116
117,Milieu_4,117
118,Milieu_4,118
119,Milieu_4,119
120,Milieu_4,120
121,Milieu_4,121
122,Milieu_4,122
123,Milieu_4,123
124,Milieu_4,124
125,Milieu_4,125
126,Milieu_4,126
127,Milieu_4,127
128,Milieu_4,128
129,Milieu_4,129
130,Milieu_4,130
131,Milieu_4,131
132,Milieu_4,132
133,Milieu_4,133
134,Milieu_4,134
135,Milieu_4,135
136,Milieu_4,136
137,Milieu_4,137
138,Milieu_4,138
139,Milieu_4,139
140,Milieu_4,140
141,Milieu_4,141
142,Milieu_4,142
143,Milieu_4,143
144,Milieu_4,144
145,Milieu_4,145
146,Milieu_4,146
147,Milieu_4,147
148,Milieu_4,148
149,Milieu_5,149
150,Milieu_5,150
151,Milieu_5,151
152,Milieu_5,152
153,Milieu_5,153
154,Milieu_5,154
155,Milieu_5,155
156,Milieu_5,156
157,Milieu_5,157
158,Milieu_5,158
159,Milieu_5,159
160,Milieu_5,160
161,Milieu_5,161
162,Milieu_5,162
163,Milieu_5,163
164,Milieu_5,164
165,Milieu_5,165
166,Milieu_5,166
167,Milieu_5,167
168,Milieu_5,168
169,Milieu_5,169
170,Milieu_5,170
171,Milieu_5,171
172,Milieu_5,172
173,Milieu_5,173
174,Milieu_5,174
175,Milieu_5,175
176,Milieu_5,176
177,Milieu_5,177
178,Milieu_5,178
179,Milieu_5,179
180,Milieu_5,180
181,Milieu_5,181
182,Milieu_5,182
183,Milieu_5,183
184,Milieu_5,184
185,Milieu_5,185
186,Milieu_5,186
187,Milieu_1,187
188,Milieu_1,188
189,Milieu_1,189
190,Milieu_1,190
191,Milieu_1,191
192,Milieu_1,192
193,Milieu_1,193
194,Milieu_1,194
195,Milieu_1,195
196,Milieu_1,196
197,Milieu_1,197
198,Milieu_1,198
199,Milieu_1,199
200,Milieu_1,200
201,Milieu_1,201
202,Milieu_1,202
203,Milieu_1,203
204,Milieu_1,204
205,Milieu_1,205
206,Milieu_1,206
207,Milieu_1,207
208,Milieu_1,208
209,Milieu_1,209
210,Milieu_1,210
211,Milieu_1,211
212,Milieu_1,212
213,Milieu_1,213
214,Milieu_1,214
215,Milieu_1,215
216,Milieu_1,216
217,Milieu_1,217
218,Milieu_1,218
219,Milieu_1,219
220,Milieu_1,220
221,Milieu_1,221
222,Milieu_1,222
223,Milieu_1,223
224,Milieu_1,224
225,Milieu_1,225
226,Milieu_1,226
227,Milieu_1,227
228,Milieu_1,228
229,Milieu_1,229
230,Milieu_1,230
231,Milieu_1,231
232,Milieu_1,232
233,Milieu_1,233
234,Milieu_1,234
235,Milieu_1,235
236,Milieu_1,236
237,Milieu_1,237
238,Milieu_1,238
239,Milieu_1,239
240,Milieu_1,240
241,Milieu_1,241
242,Milieu_1,242
243,Milieu_1,243
244,Milieu_1,244
245,Milieu_2,245
246,Milieu_2,246
247,Milieu_2,247
248,Milieu_2,248
249,Milieu_2,249
250,Milieu_2,250
251,Milieu_2,251
252,Milieu_2,252
253,Milieu_2,253
254,Milieu_2,254
255,Milieu_2,255
256,Milieu_2,256
257,Milieu_2,257
258,Milieu_2,258
259,Milieu_3,259
260,Milieu_3,260
261,Milieu_3,261
262,Milieu_3,262
263,Milieu_3,263
264,Milieu_3,264
265,Milieu_3,265
266,Milieu_3,266
267,Milieu_3,267
268,Milieu_3,268
269,Milieu_3,269
270,Milieu_3,270
271,Milieu_3,271
272,Milieu_3,272
273,Milieu_3,273
274,Milieu_3,274
275,Milieu_3,275
276,Milieu_3,276
277,Milieu_3,277
278,Milieu_3,278
279,Milieu_3,279
280,Milieu_3,280
281,Milieu_3,281
282,Milieu_3,282
283,Milieu_3,283
284,Milieu_3,284
285,Milieu_3,285
286,Milieu_3,286
287,Milieu_3,287
288,Milieu_3,288
289,Milieu_3,289
290,Milieu_3,290
291,Milieu_3,291
292,Milieu_3,292
293,Milieu_3,293
294,Milieu_3,294
295,Milieu_3,295
296,Milieu_3,296
297,Milieu_3,297
298,Milieu_3,298
299,Milieu_3,299
300,Milieu_3,300
301,Milieu_3,301
302,Milieu_3,302
303,Milieu_3,303
304,Milieu_3,304
305,Milieu_3,305
306,Milieu_3,306
307,Milieu_3,307
308,Milieu_3,308
309,Milieu_3,309
310,Milieu_3,310
311,Milieu_3,311
312,Milieu_3,312
313,Milieu_3,313
314,Milieu_4,314
315,Milieu_4,315
316,Milieu_4,316
317,Milieu_4,317
318,Milieu_4,318
319,Milieu_4,319
320,Milieu_4,320
321,Milieu_4,321
322,Milieu_4,322
323,Milieu_4,323
324,Milieu_4,324
325,Milieu_4,325
326,Milieu_4,326
327,Milieu_4,327
328,Milieu_4,328
329,Milieu_4,329
330,Milieu_4,330
331,Milieu_4,331
332,Milieu_4,332
333,Milieu_4,333
334,Milieu_4,334
335,Milieu_4,335
336,Milieu_4,336
337,Milieu_4,337
338,Milieu_4,338
339,Milieu_4,339
340,Milieu_4,340
341,Milieu_4,341
342,Milieu_4,342
343,Milieu_4,343
344,Milieu_4,344
345,Milieu_4,345
346,Milieu_4,346
347,Milieu_4,347
348,Milieu_4,348
349,Milieu_4,349
350,Milieu_4,350
351,Milieu_4,351
352,Milieu_4,352
353,Milieu_4,353
354,Milieu_4,354
355,Milieu_5,355
356,Milieu_5,356
357,Milieu_5,357
358,Milieu_5,358
359,Milieu_5,359
360,Milieu_5,360
361,Milieu_5,361
362,Milieu_5,362
363,Milieu_5,363
364,Milieu_5,364
365,Milieu_5,365
366,Milieu_5,366
367,Milieu_5,367
368,Milieu_5,368
369,Milieu_5,369
370,Milieu_5,370
371,Milieu_5,371
372,Milieu_5,372
373,Milieu_5,373
374,Milieu_5,374
375,Milieu_5,375
376,Milieu_5,376
377,Milieu_5,377
378,Milieu_5,378
379,Milieu_5,379
380,Milieu_5,380
381,Milieu_5,381
382,Milieu_5,382
383,Milieu_5,383
384,Milieu_5,384
385,Milieu_5,385
386,Milieu_5,386
387,Milieu_5,387
388,Milieu_5,388
389,Milieu_5,389
390,Milieu_5,390
391,Milieu_5,391
392,Milieu_5,392
393,Milieu_5,393
394,Milieu_5,394
395,Milieu_5,395
396,Milieu_5,396
397,Milieu_5,397
398,Milieu_5,398
399,Milieu_5,399
400,Milieu_5,400
401,Milieu_5,401
402,Milieu_5,402
403,Milieu_5,403
404,Milieu_5,404
405,Milieu_5,405
406,Milieu_5,406
407,Milieu_5,407
408,Milieu_5,408
409,Milieu_5,409
410,Milieu_5,410
411,Milieu_5,411
412,Milieu_5,412
413,Milieu_5,413
414,Milieu_5,414
415,Milieu_1,415
416,Milieu_1,416
417,Milieu_1,417
418,Milieu_1,418
419,Milieu_1,419
420,Milieu_1,420
421,Milieu_1,421
422,Milieu_1,422
423,Milieu_1,423
424,Milieu_1,424
425,Milieu_1,425
426,Milieu_1,426
427,Milieu_1,427
428,Milieu_1,428
429,Milieu_1,429
430,Milieu_1,430
431,Milieu_1,431
432,Milieu_1,432
433,Milieu_1,433
434,Milieu_1,434
435,Milieu_1,435
436,Milieu_1,436
437,Milieu_1,437
438,Milieu_1,438
439,Milieu_1,439
440,Milieu_1,440
441,Milieu_1,441
442,Milieu_1,442
443,Milieu_1,443
444,Milieu_1,444
445,Milieu_1,445
446,Milieu_1,446
447,Milieu_1,447
448,Milieu_1,448
449,Milieu_1,449
450,Milieu_2,450
451,Milieu_2,451
452,Milieu_2,452
453,Milieu_2,453
454,Milieu_2,454
455,Milieu_2,455
456,Milieu_2,456
457,Milieu_2,457
458,Milieu_2,458
459,Milieu_2,459
460,Milieu_2,460
461,Milieu_2,461
462,Milieu_2,462
463,Milieu_2,463
464,Milieu_2,464
465,Milieu_2,465
466,Milieu_2,466
467,Milieu_2,467
468,Milieu_2,468
469,Milieu_2,469
470,Milieu_2,470
471,Milieu_2,471
472,Milieu_2,472
473,Milieu_2,473
474,Milieu_2,474
475,Milieu_2,475
476,Milieu_2,476
477,Milieu_2,477
478,Milieu_3,478
479,Milieu_3,479
480,Milieu_3,480
481,Milieu_3,481
482,Milieu_3,482
483,Milieu_3,483
484,Milieu_3,484
485,Milieu_3,485
486,Milieu_3,486
487,Milieu_3,487
488,Milieu_3,488
489,Milieu_3,489
490,Milieu_3,490
491,Milieu_3,491
492,Milieu_3,492
493,Milieu_3,493
494,Milieu_3,494
495,Milieu_3,495
496,Milieu_3,496
497,Milieu_3,497
498,Milieu_3,498
499,Milieu_3,499
500,Milieu_3,500
501,Milieu_3,501
502,Milieu_3,502
503,Milieu_3,503
504,Milieu_3,504
505,Milieu_3,505
506,Milieu_3,506
507,Milieu_3,507
508,Milieu_4,508
509,Milieu_4,509
510,Milieu_4,510
511,Milieu_4,511
512,Milieu_4,512
513,Milieu_4,513
514,Milieu_4,514
515,Milieu_4,515
516,Milieu_4,516
517,Milieu_4,517
518,Milieu_4,518
519,Milieu_4,519
520,Milieu_4,520
521,Milieu_4,521
522,Milieu_4,522
523,Milieu_4,523
524,Milieu_4,524
525,Milieu_4,525
526,Milieu_4,526
527,Milieu_4,527
528,Milieu_4,528
529,Milieu_4,529
530,Milieu_4,530
531,Milieu_4,531
532,Milieu_4,532
533,Milieu_4,533
534,Milieu_4,534
535,Milieu_4,535
536,Milieu_4,536
537,Milieu_4,537
538,Milieu_4,538
539,Milieu_4,539
540,Milieu_4,540
541,Milieu_4,541
542,Milieu_4,542
543,Milieu_5,543
544,Milieu_5,544
545,Milieu_5,545
546,Milieu_5,546
547,Milieu_5,547
548,Milieu_5,548
549,Milieu_5,549
550,Milieu_5,550
551,Milieu_5,551
552,Milieu_5,552
553,Milieu_5,553
554,Milieu_5,554
555,Milieu_5,555
556,Milieu_5,556
557,Milieu_5,557
558,Milieu_5,558
559,Milieu_5,559
560,Milieu_5,560
561,Milieu_5,561
562,Milieu_5,562
563,Milieu_5,563
564,Milieu_5,564
565,Milieu_5,565
566,Milieu_5,566
567,Milieu_5,567
568,Milieu_5,568
569,Milieu_5,569
570,Milieu_5,570
571,Milieu_5,571
572,Milieu_5,572
573,Milieu_5,573
574,Milieu_5,574
575,Milieu_5,575
576,Milieu_5,576
577,Milieu_1,577
578,Milieu_1,578
579,Milieu_1,579
580,Milieu_1,580
581,Milieu_1,581
582,Milieu_1,582
583,Milieu_1,583
584,Milieu_1,584
585,Milieu_1,585
586,Milieu_1,586
587,Milieu_1,587
588,Milieu_1,588
589,Milieu_1,589
590,Milieu_1,590
591,Milieu_1,591
592,Milieu_1,592
593,Milieu_2,593
594,Milieu_2,594
595,Milieu_2,595
596,Milieu_2,596
597,Milieu_2,597
598,Milieu_2,598
599,Milieu_2,599
600,Milieu_2,600
601,Milieu_2,601
602,Milieu_2,602
603,Milieu_2,603
604,Milieu_2,604
605,Milieu_2,605
606,Milieu_2,606
607,Milieu_2,607
608,Milieu_2,608
609,Milieu_2,609
610,Milieu_2,610
611,Milieu_2,611
612,Milieu_2,612
613,Milieu_2,613
614,Milieu_2,614
615,Milieu_2,615
616,Milieu_2,616
617,Milieu_2,617
618,Milieu_2,618
619,Milieu_2,619
620,Milieu_2,620
621,Milieu_2,621
622,Milieu_2,622
623,Milieu_2,623
624,Milieu_2,624
625,Milieu_2,625
626,Milieu_3,626
627,Milieu_3,627
628,Milieu_3,628
629,Milieu_3,629
630,Milieu_3,630
631,Milieu_3,631
632,Milieu_3,632
633,Milieu_3,633
634,Milieu_3,634
635,Milieu_3,635
636,Milieu_3,636
637,Milieu_3,637
638,Milieu_3,638
639,Milieu_3,639
640,Milieu_3,640
641,Milieu_3,641
642,Milieu_3,642
643,Milieu_3,643
644,Milieu_3,644
645,Milieu_3,645
646,Milieu_3,646
647,Milieu_3,647
648,Milieu_3,648
649,Milieu_3,649
650,Milieu_3,650
651,Milieu_3,651
652,Milieu_3,652
653,Milieu_3,653
654,Milieu_3,654
655,Milieu_3,655
656,Milieu_3,656
657,Milieu_3,657
658,Milieu_3,658
659,Milieu_3,659
660,Milieu_3,660
661,Milieu_3,661
662,Milieu_4,662
663,Milieu_4,663
664,Milieu_4,664
665,Milieu_4,665
666,Milieu_4,666
667,Milieu_4,667
668,Milieu_4,668
669,Milieu_4,669
670,Milieu_4,670
671,Milieu_4,671
672,Milieu_4,672
673,Milieu_4,673
674,Milieu_4,674
675,Milieu_4,675
676,Milieu_4,676
677,Milieu_4,677
678,Milieu_4,678
679,Milieu_4,679
680,Milieu_4,680
681,Milieu_4,681
682,Milieu_4,682
683,Milieu_4,683
684,Milieu_4,684
685,Milieu_4,685
686,Milieu_4,686
687,Milieu_4,687
688,Milieu_4,688
689,Milieu_4,689
690,Milieu_4,690
691,Milieu_4,691
692,Milieu_4,692
693,Milieu_4,693
694,Milieu_4,694
695,Milieu_4,695
696,Milieu_4,696
697,Milieu_4,697
698,Milieu_4,698
699,Milieu_4,699
700,Milieu_4,700
701,Milieu_4,701
702,Milieu_4,702
703,Milieu_4,703
704,Milieu_5,704
705,Milieu_5,705
706,Milieu_5,706
707,Milieu_5,707
708,Milieu_5,708
709,Milieu_5,709
710,Milieu_5,710
711,Milieu_5,711
712,Milieu_5,712
713,Milieu_5,713
714,Milieu_5,714
715,Milieu_5,715
716,Milieu_5,716
717,Milieu_5,717
718,Milieu_5,718
719,Milieu_5,719
720,Milieu_5,720
721,Milieu_5,721
722,Milieu_5,722
723,Milieu_5,723
724,Milieu_5,724
725,Milieu_5,725
726,Milieu_5,726
727,Milieu_5,727
728,Milieu_5,728
729,Milieu_5,729
730,Milieu_5,730
731,Milieu_5,731
732,Milieu_5,732
733,Milieu_5,733
734,Milieu_5,734
735,Milieu_5,735
